"","key","clid","cl_label"
"1",NA,"CHEBI:24431",NA
"2","protein","PR:000000001","protein"
"3",NA,"CHEBI:46858",NA
"4","cell","CL:0000000","cell"
"5","primary cultured cell","CL:0000001","primary cultured cell"
"6","obsolete immortal cell line cell","CL:0000002","obsolete immortal cell line cell"
"7","obsolete native cell","CL:0000003","obsolete native cell"
"8","obsolete cell by organism","CL:0000004","obsolete cell by organism"
"9","neural crest derived fibroblast","CL:0000005","neural crest derived fibroblast"
"10","neuronal receptor cell","CL:0000006","neuronal receptor cell"
"11","early embryonic cell (metazoa)","CL:0000007","early embryonic cell (metazoa)"
"12","migratory cranial neural crest cell","CL:0000008","migratory cranial neural crest cell"
"13","obsolete fusiform initial","CL:0000009","obsolete fusiform initial"
"14","cultured cell","CL:0000010","cultured cell"
"15","migratory trunk neural crest cell","CL:0000011","migratory trunk neural crest cell"
"16","obsolete cell by class","CL:0000012","obsolete cell by class"
"17","obsolete dentine secreting cell","CL:0000013","obsolete dentine secreting cell"
"18","germ line stem cell","CL:0000014","germ line stem cell"
"19","male germ cell","CL:0000015","male germ cell"
"20","male germ line stem cell","CL:0000016","male germ line stem cell"
"21","spermatocyte","CL:0000017","spermatocyte"
"22","spermatid","CL:0000018","spermatid"
"23","sperm","CL:0000019","sperm"
"24","spermatogonium","CL:0000020","spermatogonium"
"25","female germ cell","CL:0000021","female germ cell"
"26","female germ line stem cell","CL:0000022","female germ line stem cell"
"27","oocyte","CL:0000023","oocyte"
"28","oogonial cell","CL:0000024","oogonial cell"
"29","egg cell","CL:0000025","egg cell"
"30","invertebrate nurse cell","CL:0000026","invertebrate nurse cell"
"31","smooth muscle cell neural crest derived","CL:0000027","smooth muscle cell neural crest derived"
"32","cns neuron (sensu nematoda and protostomia)","CL:0000028","CNS neuron (sensu Nematoda and Protostomia)"
"33","neural crest derived neuron","CL:0000029","neural crest derived neuron"
"34","glioblast","CL:0000030","glioblast"
"35","neuroblast (sensu vertebrata)","CL:0000031","neuroblast (sensu Vertebrata)"
"36","neuroplacodal cell","CL:0000032","neuroplacodal cell"
"37","apocrine cell","CL:0000033","apocrine cell"
"38","stem cell","CL:0000034","stem cell"
"39","single fate stem cell","CL:0000035","single fate stem cell"
"40","epithelial fate stem cell","CL:0000036","epithelial fate stem cell"
"41","hematopoietic stem cell","CL:0000037","hematopoietic stem cell"
"42","erythroid progenitor cell","CL:0000038","erythroid progenitor cell"
"43","germ line cell","CL:0000039","germ line cell"
"44","monoblast","CL:0000040","monoblast"
"45","mature eosinophil","CL:0000041","mature eosinophil"
"46","neutrophilic myeloblast","CL:0000042","neutrophilic myeloblast"
"47","mature basophil","CL:0000043","mature basophil"
"48","obsolete thymus processed stem cell","CL:0000045","obsolete thymus processed stem cell"
"49","obsolete bursa processed stem cell","CL:0000046","obsolete bursa processed stem cell"
"50","neural stem cell","CL:0000047","neural stem cell"
"51","multi fate stem cell","CL:0000048","multi fate stem cell"
"52","common myeloid progenitor","CL:0000049","common myeloid progenitor"
"53","megakaryocyte-erythroid progenitor cell","CL:0000050","megakaryocyte-erythroid progenitor cell"
"54","common lymphoid progenitor","CL:0000051","common lymphoid progenitor"
"55","totipotent stem cell","CL:0000052","totipotent stem cell"
"56","obsolete bone matrix secreting cell","CL:0000054","obsolete bone matrix secreting cell"
"57","non-terminally differentiated cell","CL:0000055","non-terminally differentiated cell"
"58","myoblast","CL:0000056","myoblast"
"59","fibroblast","CL:0000057","fibroblast"
"60","chondroblast","CL:0000058","chondroblast"
"61","ameloblast","CL:0000059","ameloblast"
"62","odontoblast","CL:0000060","odontoblast"
"63","cementoblast","CL:0000061","cementoblast"
"64","osteoblast","CL:0000062","osteoblast"
"65","obsolete cell by histology","CL:0000063","obsolete cell by histology"
"66","ciliated cell","CL:0000064","ciliated cell"
"67","ependymal cell","CL:0000065","ependymal cell"
"68","epithelial cell","CL:0000066","epithelial cell"
"69","ciliated epithelial cell","CL:0000067","ciliated epithelial cell"
"70","duct epithelial cell","CL:0000068","duct epithelial cell"
"71","branched duct epithelial cell","CL:0000069","branched duct epithelial cell"
"72","obsolete epithelial cell of gland","CL:0000070","obsolete epithelial cell of gland"
"73","blood vessel endothelial cell","CL:0000071","blood vessel endothelial cell"
"74","non-branched duct epithelial cell","CL:0000072","non-branched duct epithelial cell"
"75","obsolete barrier epithelial cell","CL:0000073","obsolete barrier epithelial cell"
"76","obsolete epithem cell","CL:0000074","obsolete epithem cell"
"77","columnar/cuboidal epithelial cell","CL:0000075","columnar/cuboidal epithelial cell"
"78","squamous epithelial cell","CL:0000076","squamous epithelial cell"
"79","mesothelial cell","CL:0000077","mesothelial cell"
"80","peridermal cell","CL:0000078","peridermal cell"
"81","stratified epithelial cell","CL:0000079","stratified epithelial cell"
"82","circulating cell","CL:0000080","circulating cell"
"83","blood cell","CL:0000081","blood cell"
"84","epithelial cell of lung","CL:0000082","epithelial cell of lung"
"85","epithelial cell of pancreas","CL:0000083","epithelial cell of pancreas"
"86","t cell","CL:0000084","T cell"
"87","obsolete germ line stem cell (sensu vertebrata)","CL:0000085","obsolete germ line stem cell (sensu Vertebrata)"
"88","obsolete germ line stem cell (sensu nematoda and protostomia)","CL:0000086","obsolete germ line stem cell (sensu Nematoda and Protostomia)"
"89","obsolete male germ line stem cell (sensu nematoda and protostomia)","CL:0000087","obsolete male germ line stem cell (sensu Nematoda and Protostomia)"
"90","obsolete female germ line stem cell (sensu nematoda and protostomia)","CL:0000088","obsolete female germ line stem cell (sensu Nematoda and Protostomia)"
"91","obsolete male germ line stem cell (sensu vertebrata)","CL:0000089","obsolete male germ line stem cell (sensu Vertebrata)"
"92","obsolete female germ line stem cell (sensu vertebrata)","CL:0000090","obsolete female germ line stem cell (sensu Vertebrata)"
"93","kupffer cell","CL:0000091","Kupffer cell"
"94","osteoclast","CL:0000092","osteoclast"
"95","obsolete osteochondroclast","CL:0000093","obsolete osteochondroclast"
"96","granulocyte","CL:0000094","granulocyte"
"97","neuron associated cell","CL:0000095","neuron associated cell"
"98","mature neutrophil","CL:0000096","mature neutrophil"
"99","mast cell","CL:0000097","mast cell"
"100","sensory epithelial cell","CL:0000098","sensory epithelial cell"
"101","interneuron","CL:0000099","interneuron"
"102","motor neuron","CL:0000100","motor neuron"
"103","sensory neuron","CL:0000101","sensory neuron"
"104","polymodal neuron","CL:0000102","polymodal neuron"
"105","bipolar neuron","CL:0000103","bipolar neuron"
"106","multipolar neuron","CL:0000104","multipolar neuron"
"107","pseudounipolar neuron","CL:0000105","pseudounipolar neuron"
"108","unipolar neuron","CL:0000106","unipolar neuron"
"109","autonomic neuron","CL:0000107","autonomic neuron"
"110","cholinergic neuron","CL:0000108","cholinergic neuron"
"111","adrenergic neuron","CL:0000109","adrenergic neuron"
"112","peptidergic neuron","CL:0000110","peptidergic neuron"
"113","columnar neuron","CL:0000112","columnar neuron"
"114","mononuclear phagocyte","CL:0000113","mononuclear phagocyte"
"115","surface ectodermal cell","CL:0000114","surface ectodermal cell"
"116","endothelial cell","CL:0000115","endothelial cell"
"117","pioneer neuron","CL:0000116","pioneer neuron"
"118","cns neuron (sensu vertebrata)","CL:0000117","CNS neuron (sensu Vertebrata)"
"119","basket cell","CL:0000118","basket cell"
"120","cerebellar golgi cell","CL:0000119","cerebellar Golgi cell"
"121","granule cell","CL:0000120","granule cell"
"122","purkinje cell","CL:0000121","Purkinje cell"
"123","stellate neuron","CL:0000122","stellate neuron"
"124","neuron associated cell (sensu vertebrata)","CL:0000123","neuron associated cell (sensu Vertebrata)"
"125","obsolete glial cell (sensu nematoda and protostomia)","CL:0000124","obsolete glial cell (sensu Nematoda and Protostomia)"
"126","glial cell","CL:0000125","glial cell"
"127","macroglial cell","CL:0000126","macroglial cell"
"128","astrocyte","CL:0000127","astrocyte"
"129","oligodendrocyte","CL:0000128","oligodendrocyte"
"130","microglial cell","CL:0000129","microglial cell"
"131","neuron associated cell (sensu nematoda and protostomia)","CL:0000130","neuron associated cell (sensu Nematoda and Protostomia)"
"132","gut endothelial cell","CL:0000131","gut endothelial cell"
"133","corneal endothelial cell","CL:0000132","corneal endothelial cell"
"134","neurectodermal cell","CL:0000133","neurectodermal cell"
"135","mesenchymal stem cell","CL:0000134","mesenchymal stem cell"
"136","fibrocyte","CL:0000135","fibrocyte"
"137","adipocyte","CL:0000136","adipocyte"
"138","osteocyte","CL:0000137","osteocyte"
"139","chondrocyte","CL:0000138","chondrocyte"
"140","odontocyte","CL:0000140","odontocyte"
"141","cementocyte","CL:0000141","cementocyte"
"142","hyalocyte","CL:0000142","hyalocyte"
"143","guidepost cell","CL:0000143","guidepost cell"
"144","obsolete cell by function","CL:0000144","obsolete cell by function"
"145","professional antigen presenting cell","CL:0000145","professional antigen presenting cell"
"146","simple columnar epithelial cell","CL:0000146","simple columnar epithelial cell"
"147","pigment cell","CL:0000147","pigment cell"
"148","melanocyte","CL:0000148","melanocyte"
"149","visual pigment cell","CL:0000149","visual pigment cell"
"150","glandular secretory epithelial cell","CL:0000150","glandular secretory epithelial cell"
"151","secretory cell","CL:0000151","secretory cell"
"152","exocrine cell","CL:0000152","exocrine cell"
"153","glycosaminoglycan secreting cell","CL:0000153","glycosaminoglycan secreting cell"
"154","protein secreting cell","CL:0000154","protein secreting cell"
"155","peptic cell","CL:0000155","peptic cell"
"156","obsolete antibody secreting cell","CL:0000156","obsolete antibody secreting cell"
"157","surfactant secreting cell","CL:0000157","surfactant secreting cell"
"158","club cell","CL:0000158","club cell"
"159","seromucus secreting cell","CL:0000159","seromucus secreting cell"
"160","goblet cell","CL:0000160","goblet cell"
"161","obsolete acid secreting cell","CL:0000161","obsolete acid secreting cell"
"162","parietal cell","CL:0000162","parietal cell"
"163","endocrine cell","CL:0000163","endocrine cell"
"164","enteroendocrine cell","CL:0000164","enteroendocrine cell"
"165","neuroendocrine cell","CL:0000165","neuroendocrine cell"
"166","chromaffin cell","CL:0000166","chromaffin cell"
"167","peptide hormone secreting cell","CL:0000167","peptide hormone secreting cell"
"168","insulin secreting cell","CL:0000168","insulin secreting cell"
"169","type b pancreatic cell","CL:0000169","type B pancreatic cell"
"170","glucagon secreting cell","CL:0000170","glucagon secreting cell"
"171","pancreatic a cell","CL:0000171","pancreatic A cell"
"172","somatostatin secreting cell","CL:0000172","somatostatin secreting cell"
"173","pancreatic d cell","CL:0000173","pancreatic D cell"
"174","steroid hormone secreting cell","CL:0000174","steroid hormone secreting cell"
"175","luteal cell","CL:0000175","luteal cell"
"176","ecdysteroid secreting cell","CL:0000176","ecdysteroid secreting cell"
"177","testosterone secreting cell","CL:0000177","testosterone secreting cell"
"178","leydig cell","CL:0000178","Leydig cell"
"179","progesterone secreting cell","CL:0000179","progesterone secreting cell"
"180","estradiol secreting cell","CL:0000180","estradiol secreting cell"
"181","obsolete metabolising cell","CL:0000181","obsolete metabolising cell"
"182","hepatocyte","CL:0000182","hepatocyte"
"183","contractile cell","CL:0000183","contractile cell"
"184","myoepithelial cell","CL:0000185","myoepithelial cell"
"185","myofibroblast cell","CL:0000186","myofibroblast cell"
"186","muscle cell","CL:0000187","muscle cell"
"187","cell of skeletal muscle","CL:0000188","cell of skeletal muscle"
"188","slow muscle cell","CL:0000189","slow muscle cell"
"189","fast muscle cell","CL:0000190","fast muscle cell"
"190","smooth muscle cell","CL:0000192","smooth muscle cell"
"191","cardiac muscle cell (sensu arthopoda)","CL:0000193","cardiac muscle cell (sensu Arthopoda)"
"192","obsolete nodal cardiac cell","CL:0000194","obsolete nodal cardiac cell"
"193","obsolete purkinje fiber","CL:0000195","obsolete Purkinje fiber"
"194","insect flight muscle cell","CL:0000196","insect flight muscle cell"
"195","sensory receptor cell","CL:0000197","sensory receptor cell"
"196","pain receptor cell","CL:0000198","pain receptor cell"
"197","mechanoreceptor cell","CL:0000199","mechanoreceptor cell"
"198","touch receptor cell","CL:0000200","touch receptor cell"
"199","auditory hair cell","CL:0000202","auditory hair cell"
"200","gravity sensitive cell","CL:0000203","gravity sensitive cell"
"201","acceleration receptive cell","CL:0000204","acceleration receptive cell"
"202","thermoreceptor cell","CL:0000205","thermoreceptor cell"
"203","chemoreceptor cell","CL:0000206","chemoreceptor cell"
"204","olfactory receptor cell","CL:0000207","olfactory receptor cell"
"205","ph receptor cell","CL:0000208","pH receptor cell"
"206","taste receptor cell","CL:0000209","taste receptor cell"
"207","photoreceptor cell","CL:0000210","photoreceptor cell"
"208","electrically active cell","CL:0000211","electrically active cell"
"209","obsolete absorptive cell","CL:0000212","obsolete absorptive cell"
"210","obsolete lining cell","CL:0000213","obsolete lining cell"
"211","synovial cell","CL:0000214","synovial cell"
"212","obsolete barrier cell","CL:0000215","obsolete barrier cell"
"213","sertoli cell","CL:0000216","Sertoli cell"
"214","obsolete insulating cell","CL:0000217","obsolete insulating cell"
"215","myelinating schwann cell","CL:0000218","myelinating Schwann cell"
"216","motile cell","CL:0000219","motile cell"
"217","obsolete cell by lineage","CL:0000220","obsolete cell by lineage"
"218","ectodermal cell","CL:0000221","ectodermal cell"
"219","mesodermal cell","CL:0000222","mesodermal cell"
"220","endodermal cell","CL:0000223","endodermal cell"
"221","obsolete cell by nuclear number","CL:0000224","obsolete cell by nuclear number"
"222","anucleate cell","CL:0000225","anucleate cell"
"223","single nucleate cell","CL:0000226","single nucleate cell"
"224","binucleate cell","CL:0000227","binucleate cell"
"225","multinucleate cell","CL:0000228","multinucleate cell"
"226","obsolete lymphoblast","CL:0000229","obsolete lymphoblast"
"227","obsolete t lymphoblast","CL:0000230","obsolete T lymphoblast"
"228","obsolete b lymphoblast","CL:0000231","obsolete B lymphoblast"
"229","erythrocyte","CL:0000232","erythrocyte"
"230","platelet","CL:0000233","platelet"
"231","phagocyte","CL:0000234","phagocyte"
"232","macrophage","CL:0000235","macrophage"
"233","b cell","CL:0000236","B cell"
"234","keratinizing barrier epithelial cell","CL:0000237","keratinizing barrier epithelial cell"
"235","non keratinizing barrier epithelial cell","CL:0000238","non keratinizing barrier epithelial cell"
"236","brush border epithelial cell","CL:0000239","brush border epithelial cell"
"237","stratified squamous epithelial cell","CL:0000240","stratified squamous epithelial cell"
"238","stratified cuboidal epithelial cell","CL:0000241","stratified cuboidal epithelial cell"
"239","merkel cell","CL:0000242","Merkel cell"
"240","obsolete glial cell (sensu vertebrata)","CL:0000243","obsolete glial cell (sensu Vertebrata)"
"241","transitional epithelial cell","CL:0000244","transitional epithelial cell"
"242","obsolete passage cell","CL:0000245","obsolete passage cell"
"243","mauthner neuron","CL:0000246","Mauthner neuron"
"244","rohon-beard neuron","CL:0000247","Rohon-Beard neuron"
"245","obsolete microsporocyte","CL:0000248","obsolete microsporocyte"
"246","hatching gland cell","CL:0000249","hatching gland cell"
"247","obsolete megaspore","CL:0000250","obsolete megaspore"
"248","extramedullary cell","CL:0000251","extramedullary cell"
"249","obsolete microspore","CL:0000252","obsolete microspore"
"250","eurydendroid cell","CL:0000253","eurydendroid cell"
"251","obsolete egg cell","CL:0000254","obsolete egg cell"
"252","eukaryotic cell","CL:0000255","eukaryotic cell"
"253","uric acid accumulating cell","CL:0000256","uric acid accumulating cell"
"254","eumycetozoan cell","CL:0000257","Eumycetozoan cell"
"255","obsolete fiber tracheid","CL:0000258","obsolete fiber tracheid"
"256","obsolete aggregate cell","CL:0000259","obsolete aggregate cell"
"257","obsolete mucilage cell","CL:0000260","obsolete mucilage cell"
"258","obsolete anterior cell","CL:0000261","obsolete anterior cell"
"259","obsolete guard mother cell","CL:0000262","obsolete guard mother cell"
"260","obsolete vegetative cell (sensu mycetozoa)","CL:0000263","obsolete vegetative cell (sensu Mycetozoa)"
"261","obsolete phloem initial","CL:0000264","obsolete phloem initial"
"262","obsolete anterior like cell","CL:0000265","obsolete anterior like cell"
"263","obsolete meristemoid","CL:0000266","obsolete meristemoid"
"264","obsolete prespore cell","CL:0000267","obsolete prespore cell"
"265","obsolete sieve element","CL:0000268","obsolete sieve element"
"266","obsolete prestalk cell","CL:0000269","obsolete prestalk cell"
"267","obsolete subsidiary cell","CL:0000270","obsolete subsidiary cell"
"268","obsolete prestalk a cell","CL:0000271","obsolete prestalk A cell"
"269","obsolete cambial initial","CL:0000272","obsolete cambial initial"
"270","obsolete prestalk ab cell","CL:0000273","obsolete prestalk AB cell"
"271","obsolete prestalk b cell","CL:0000275","obsolete prestalk B cell"
"272","obsolete sclerenchyma cell","CL:0000276","obsolete sclerenchyma cell"
"273","obsolete prestalk i cell","CL:0000277","obsolete prestalk I cell"
"274","obsolete central cell","CL:0000278","obsolete central cell"
"275","obsolete prestalk 0 cell","CL:0000279","obsolete prestalk 0 cell"
"276","obsolete generative cell","CL:0000280","obsolete generative cell"
"277","obsolete pstab/alc","CL:0000281","obsolete pstAB/ALC"
"278","obsolete trichome","CL:0000282","obsolete trichome"
"279","obsolete psto/alc","CL:0000283","obsolete pstO/ALC"
"280","obsolete companion cell","CL:0000284","obsolete companion cell"
"281","obsolete stalk cell","CL:0000285","obsolete stalk cell"
"282","hyphal cell","CL:0000286","hyphal cell"
"283","eye photoreceptor cell","CL:0000287","eye photoreceptor cell"
"284","obsolete synergid","CL:0000288","obsolete synergid"
"285","obsolete chemotactic amoeboid cell (sensu mycetozoa)","CL:0000289","obsolete chemotactic amoeboid cell (sensu Mycetozoa)"
"286","obsolete xylem fiber cell","CL:0000290","obsolete xylem fiber cell"
"287","obsolete spore (sensu mycetozoa)","CL:0000291","obsolete spore (sensu Mycetozoa)"
"288","obsolete guard cell","CL:0000292","obsolete guard cell"
"289","structural cell","CL:0000293","structural cell"
"290","obsolete sieve cell","CL:0000294","obsolete sieve cell"
"291","somatotropin secreting cell","CL:0000295","somatotropin secreting cell"
"292","obsolete vegetative cell","CL:0000296","obsolete vegetative cell"
"293","obsolete socket cell","CL:0000297","obsolete socket cell"
"294","obsolete xylem element","CL:0000298","obsolete xylem element"
"295","obsolete trichoblast","CL:0000299","obsolete trichoblast"
"296","gamete","CL:0000300","gamete"
"297","pole cell","CL:0000301","pole cell"
"298","obsolete igm b cell","CL:0000302","obsolete IgM B cell"
"299","obsolete igg b cell","CL:0000303","obsolete IgG B cell"
"300","obsolete iga b cell","CL:0000304","obsolete IgA B cell"
"301","obsolete ige b cell","CL:0000305","obsolete IgE B cell"
"302","crystallin accumulating cell","CL:0000306","crystallin accumulating cell"
"303","tracheal epithelial cell","CL:0000307","tracheal epithelial cell"
"304","metal ion accumulating cell","CL:0000308","metal ion accumulating cell"
"305","copper accumulating cell","CL:0000309","copper accumulating cell"
"306","iron accumulating cell","CL:0000310","iron accumulating cell"
"307","keratin accumulating cell","CL:0000311","keratin accumulating cell"
"308","keratinocyte","CL:0000312","keratinocyte"
"309","serous secreting cell","CL:0000313","serous secreting cell"
"310","milk secreting cell","CL:0000314","milk secreting cell"
"311","tear secreting cell","CL:0000315","tear secreting cell"
"312","obsolete ray initial","CL:0000316","obsolete ray initial"
"313","sebocyte","CL:0000317","sebocyte"
"314","sweat secreting cell","CL:0000318","sweat secreting cell"
"315","mucus secreting cell","CL:0000319","mucus secreting cell"
"316","obsolete megasporocyte","CL:0000320","obsolete megasporocyte"
"317","obsolete seminal fluid secreting cell","CL:0000321","obsolete seminal fluid secreting cell"
"318","pulmonary alveolar epithelial cell","CL:0000322","pulmonary alveolar epithelial cell"
"319","lysozyme secreting cell","CL:0000323","lysozyme secreting cell"
"320","metanephric mesenchyme stem cell","CL:0000324","metanephric mesenchyme stem cell"
"321","stuff accumulating cell","CL:0000325","stuff accumulating cell"
"322","glycogen accumulating cell","CL:0000326","glycogen accumulating cell"
"323","extracellular matrix secreting cell","CL:0000327","extracellular matrix secreting cell"
"324","oxygen accumulating cell","CL:0000329","oxygen accumulating cell"
"325","obsolete collenchymal cell","CL:0000330","obsolete collenchymal cell"
"326","obsolete tracheid","CL:0000331","obsolete tracheid"
"327","obsolete atrichoblast","CL:0000332","obsolete atrichoblast"
"328","migratory neural crest cell","CL:0000333","migratory neural crest cell"
"329","vegetative cell (sensu fungi)","CL:0000334","vegetative cell (sensu Fungi)"
"330","mesenchyme condensation cell","CL:0000335","mesenchyme condensation cell"
"331","adrenal medulla chromaffin cell","CL:0000336","adrenal medulla chromaffin cell"
"332","neuroblast (sensu nematoda and protostomia)","CL:0000338","neuroblast (sensu Nematoda and Protostomia)"
"333","glioblast (sensu vertebrata)","CL:0000339","glioblast (sensu Vertebrata)"
"334","glioblast (sensu nematoda and protostomia)","CL:0000340","glioblast (sensu Nematoda and Protostomia)"
"335","pigment cell (sensu nematoda and protostomia)","CL:0000341","pigment cell (sensu Nematoda and Protostomia)"
